generation,deck_uid,win_rate
0,yifxwCliusncviArneawhEgaqduBbD,1
0,eAomajkgBBmxaiyyskyClByhoAmsuD,0
0,dkooegnvcknsDuggjqepEjEazynlkz,4
0,nBhtueEyxxdexaovzDAquaoElnzobf,0
0,roiAcpbkgcrhpulpossEymaktgnwtl,2
0,edajvhCCgqorxrcsDqwuqDylsztpld,1
0,tyBhzazcgEekEBnbatfkfowkjmvzem,3
0,pAnnwyncopfijrDemzaCqaBfucqdnC,3
0,hgjsfwyybxyadBBDgixnzckjhojwAh,0
0,jzwgppbCrnlDwednvnAutcrkeCpngk,3
0,bhCyfnqxobDhongkkclzkugpaewkBc,4
0,eDhcCCvpxnxCursrqBmBEEddceupli,1
0,spdfchctyzugnudlwxfdrqltApitbw,1
0,cjsljBqwCDlwjinbCakpzEBtnbDppj,0
0,bxybpzgsDmcoiqadvgmgkrowBEswon,1
0,tlhvhkEqAxtzvaBdgzaiCxAooemfeb,1
0,thnAkjEjhisiwvemfkapyaBjhfDyDm,0
0,tyjlmqvzbiCgfboifdBvsaqABfhnzr,0
0,AwqigyjbjpeqgsDkjnrElzqaykhkAp,2
0,lrohvzsnaeponpsEpBkCkwtAnngdoa,3
0,wuwhAejBEtqgzAhalbbAnnElcmipng,2
0,antBuCADlepdxypykCCgqvCxzDfhfl,1
0,gexkjqgyEvdAdAuemjlCECotntEdiD,0
0,brtcpfmrwkvaxuqxgwtzqsqaBrAjCk,1
0,CBuiovrasdfojtbfwtAArlCutymnph,0
0,pmcosgkuiikwwrdfocBrcazvbgibDv,5
0,hbxyfxpmgEwrxAuqwADACniiBBtzox,0
0,pvEinapsxmwlDgtsphvekqadascbkv,1
0,cCBbraotltfzulavhxgEwygcovufga,0
0,zicwAzAofpljjiCazsalmsDhqfggBn,0
0,tanqnxahsnepBzckwCkDsChDjAelbw,2
0,kEjBspnblDhddiuDloxpvzvieBctCi,2
0,nefAaDEsphwnrtjEzdoqxrblhadjdp,0
0,vibbycdyyEDkmstnxCuhmndqeBjggD,1
0,ifaDkvCimiodnDvovsjjwrrmutvDsc,3
0,esbgvruusjtbzwrAmnmuyBCunjAadx,0
0,mEovnurEdodugCgukbmmwpijivajhz,4
0,unzbjEylCuBoclnvncbhcaxqBzDzEs,0
