generation,deck_uid,win_rate
0,hqpegeipgdomdlpqmffcncqjtejcqh,5
0,gnjfanpiamugkdsponkjpcaktmfbmq,2
0,oqigpmhgshninhgopgogqfroponeec,5
0,unbujboprotflfbudgghlgorukcrhp,0
0,knnaacujmpkrddopmsmqaeasjgtahq,1
0,fghcndicmhjlmffhignijoooiamerh,4
0,npkdubbrncbpaaltsmprgrdcrpfkgq,2
0,embhocfpqdehdskkpugrqbpledffej,2
0,gqjepbetlesidqrirhmkfsjtenhqnc,1
0,bgimpfkkhgffpisibdobabeujltmcu,0
0,jgkbtgafsegsheuprtkhmstgsmonau,0
0,ketohlhalrisrtgudclqluijtkikre,2
0,gduhdfhuetnjjqbbegnahtblisrsad,1
0,oqleuiqeucicfmnmftipkkciaqtbjc,2
0,jlabiqslhcdtekbhjpaucmkuniorlf,2
0,mdaocjtjcneftdeaalscrhuifjchsn,5
0,rhchtdjkehchkmqqojidkgqdrmjagl,4
0,agmkejujbhasdimuoirkleoqabrmqu,1
0,iggjbpgiepoemadrcknqccnifmthbb,3
0,lbbbpmqrtlpniprdltjdbfrkhhrfuq,1
0,ecbbqfnpjdqjjhnngfltfresofqinj,3
0,srjohjjqnogaiqusecagipqktburdc,1
0,bnnsqsahmmedtfoajqepphmnjermjr,1
0,crhptmrfbnurghaslmlsilupikoefo,0
0,nlcopodrbobbkjmckdbdccaaqckpso,2
0,nbofkcdogouukbjgabgpogugiqieqq,0
0,srfuttmhqaqderusimqfifkfglkqbh,0
0,gnnephruosrstohduohlpmatkarmrk,2
0,dmmougprkcilafgllqmcspkdkaksfd,2
0,fhbtaeqjmtnbdgrchqcopqmtgtpeum,2
0,dedacafffmjqadiojtermnklpaehbe,5
0,falmastlhsjksensdfsamdbftrtoka,3
0,bbibhfugdchututgiofpdnkkdrsmsu,1
0,selmhsnbbtaogsrgrpmsagdaifonqr,3
0,pchmnaduflfkidggmkbdgplehdmpdr,1
0,qsepilmuohdathfqingutpfhigasmr,1
0,mehqusqkljpboplpomnhpgahiadkur,0
0,mpftlprbrqigbndsgagkpmhasfuhti,1
0,dpudcsudaacghdkflkremoskgdsqhl,4
0,imogstpedthhsenqhqritbikqhnimc,3
0,eseuhdhqlmscmslrcedpbdcaogcchq,1
0,panomhqrqgisdpmmlkfkpqaltsimfa,2
0,qqeopnplnahdtrlmempqlqdfatjgrg,0
0,egkagmtmmshmotggpqbesramqjbjcg,1
0,mmkkpoigpmdjcdfstjgkplhmgnkugs,2
0,teedfpldtbqrknfethltiepeujcuoa,1
0,sejmufrltchcgdtaeajcjughsteabq,0
0,cojimboesbdfaorlbttacjgmoifsci,4
0,legftlsoofdljlnjbuptnkieiidgfm,2
0,kgubooqeqrghashhclelmneonmroar,4
0,sbrechkepqrbrlnhtooleobkoupcuo,1
0,gsuncfrcrgehepislgpatrshhnrhhl,2
0,phcuaeapcppbgeflhnqgodlfhctmnu,0
0,kqnjjglggehmgencfgpdqbbcemkbsi,3
0,phmofujqrcdngrqeookusstffnheii,2
0,fpalcpupmmqfsmslchhnrlolmhnpku,1
0,qjrklbbopigqeeoqjpbibubslpohag,0
0,sqhpnmjhasarsrngtbjsarauiucjdo,2
0,clsuuglhfcuanekaudcbifsesstoes,1
0,mcpuhhmreklgtlgkhrcgcosbddakop,0
0,nqunuedcalumttrscsmbnuihrircuu,0
0,udffigdemjphmrueerpshrgspgkjju,3
0,fprkiminqjjuifqebotphhsusspobl,1
0,noqumoammlnlkhujcaejltrjfnnlue,2
0,qmhbfdbicaukcfhcdsumdubnbcrkje,1
0,qpdejiectsegbhaghncetiqmeerial,3
0,lbfdmuhrotfjmbmmktpfiejgmchdtj,3
