generation,deck_uid,win_rate
0,mdgrtgdcnhdevffaowrwwkbjgqmfon,3
0,hrpmmbsburreeudnejujsomffqigwr,2
0,dstshqdsogssaontrgfsugwqgquthw,0
0,iuwbsmstqewkwdosuauijlctgljokc,0
0,batkbjlwcfdqagposfmisqubbmnaaw,1
0,moepeakhpdkmhugefgwpgdhqeqliog,1
0,ktjwbewfeutvhadvognmswgowdmdof,1
0,nqsfdegfagpqbnjdqllodjwvtkkalc,0
0,ghuqplhlsdfagmirhmanlugcbemvab,2
0,ojtdwfkdcrfscssemqhlernvrsmlmm,1
0,petpqvggohetntqelekhgfkwehmtvl,2
0,jbcuthrtdwogqwsedmtduflfuatwoi,0
0,ddqdhdtuoglwcfhkttubngfnfmnhip,2
0,affnieevnrmluemrccqbadrwnmvgnw,3
0,keoahnghcofntgskvndkddsangejvw,2
0,bvnakchrwshpnkeglialbkvtlitwig,2
0,sornjskrqhsouqkbqdlegghsittwgr,1
0,fhjlvctpqetgqdtvqifuuomubjmaou,1
0,umpkbgtaqfewpdkdciuavqleajctsw,0
0,gktlspiijasbigaggqqhqkujlminqi,1
0,vjpbrqodjbpnboqfgobgqnfnufosqc,3
0,matmqeifjtauetqrjcodkodlnkbndg,0
0,fdjvpqjwngalqoioethqoqbluekawe,0
0,gmppsmlphilsjjhcswvjvgjitiwiba,2
0,gfaohvwdqdchtgbqfnsnlpdvrshnvp,2
0,wnrhnqkknoehtmlknwoaljvrjlaiqr,3
0,nhwbokdchehctqtvowhefsawejkgpq,1
0,cvcgcdsgtqahicmvomrddalkbgvswv,1
0,kpsgeibaurgpcsnbnlftvtqvpdlfil,2
0,ehjeenbiheoluomrcaavmbketoptpl,1
0,jimjhuslvblejpkscmujpljcrwnkef,2
0,lnstgjfnjsjdmheirqvabmkfrmwpnw,2
0,rqcwbmrgcbolrjrnhftukbttqmecfb,1
0,hgofnvwpvduhcqmwfeeefqmadolafl,0
0,rctaaokgckeflialveofsqtvekkfmt,0
0,delsgaflsmhhvgieiigjtqrbhsvbai,1
0,gqmvidriouesleuhinpkuemmilqcbl,1
0,faujqqcjvhckeqdlpffnsultbpklup,4
0,avapvdhqacsgwwbcchtbccnsvnocku,3
0,ntuetmdthbamrgdhjivnjevluecqdv,1
0,dbqmmcjkgurwgoewwshucavbgfqhlr,1
0,nifufjhsmkokopqhvnguolhbnkmvgd,1
0,hjnnqhtdmfkcknjqpcwurkelrkacde,3
0,rbsqpcohmfdjuivtgalwaghufwnecm,2
0,kufrnewumueevkqcmwggathbarcorr,1
0,vptswirpeskgsqhkfbetfsqdckctkw,0
0,jrkqledhfqrdrmewgokjwpssrqgcow,2
0,adbknvurksbkvhqmhohkdpngaiasme,2
0,rsgrqkctpaudnnbeeuppbsortswirq,1
0,glnddknswwccoccfqpdcbrgcodhhpt,3
0,stafeeimvmaknmpsqqwojtmlqiwpif,0
0,efiegwvkviakikvuweedaminbviqtb,0
0,krbfpofitvpnmmjuphkdpsqjnhrche,4
0,oncevvehkpcdddeibuqcwlflimrqbm,3
0,inhisugclfskkptvhqsmdiljvnbchw,3
0,gkhvbvjoncbnpcwptfnjrakntdptes,2
0,dgnhmjqijsdwfptnroruwitqejurel,2
0,btvuagswiowfplghjrwicalwutsmwo,1
0,bubbtoonrpwrjbjdnjboajbfhbkoqs,7
0,svdidmjjnbuttctovuabwiwfftawpk,1
0,jhalaiqjldmufgpnhbmkqqdsltfqbc,0
0,uiafppdjhrvotwmqiddiifdlujpqdi,2
0,lukwifssmcpdteqklricriemeqwdra,1
0,ohhufbdqqrntefjlgaltkphvasimer,1
0,uopftpwefrehtdalebavfuuabpnqjr,2
0,dlgtvfdinpbbrnhirmsoabkwdwmahu,1
0,cltqtunvvtuohjcltfotirrrqcimhg,0
0,lfmovpmrjfndctwkbsbfkpvogaqkmi,1
0,pgphjauokkmvwqiirckjkkmoampgim,3
0,scmmliaponnwjrfjrqkbobkswvacpf,3
0,qnqnsbncuclhcobimbcmdwqgrpggtq,4
0,tdrbhnrqrowfokhikgtqaihigstemn,1
0,weclkjtosnaqqtrhjqwdwbaqhbklra,2
0,ornwuvihbcaeiurocpckkuujdvvkep,5
0,egjtauhmvjsniicnoigiprmhpaqepo,1
0,ussaajkvsitbiuvectgctuhvufqjci,2
0,jniwochrbceggdpaqcstnecbpkiija,3
0,picjrurorddggqgbiniiorppqhlnjv,3
0,lfctkequqkuwapqjhqccdwnvapjkke,2
0,phklavwedlrcumavogqrcqommhdsls,1
0,hjcpmhahrwvwqphqfipbwltgiwouvi,2
0,lvarufgqghpjpiqthbgacstqkqndms,2
0,gtwmdfletfigufuplvkkewpuhwecch,2
0,lqrhrodoaluwpdpdnlshgfbnrqqnqi,1
0,lvjbnmgkdkewcnrktdetgaffuameck,0
0,jbqabfwuelefjoirdeappdvsmcdqvd,1
0,utdheevnjujpmpfejatuhaelqbvkll,1
0,regviseefopjdmjdgnviwmhpbpfnnd,1
0,gahlanbscqgrwahimmqfjcevokwjfj,1
